Job Title,Salary,Company Name,Rating,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Lower Salary,Upper Salary,Avg Salary(K),Job Location
Data Scientist,$53K-$91K,"Tecolote Research
3.8",3.8,"Goleta, CA",501 - 1000 ,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,53,91,72,NM
Healthcare Data Scientist,$63K-$112K,"University of Maryland Medical System
3.4",3.4,"Baltimore, MD",10000+ ,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,63,112,87.5,MD
Data Scientist,$80K-$90K,"KnowBe4
4.8",4.8,"Clearwater, FL",501 - 1000 ,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,80,90,85,FL
Data Scientist,$56K-$97K,"PNNL
3.8",3.8,"Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",56,97,76.5,WA
Data Scientist,$86K-$143K,"Affinity Solutions
2.9",2.9,"New York, NY",51 - 200 ,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",86,143,114.5,NY
Data Scientist,$71K-$119K,"CyrusOne
3.4",3.4,"Dallas, TX",201 - 500 ,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",71,119,95,TX
Data Scientist,$54K-$93K,"ClearOne Advantage
4.1",4.1,"Baltimore, MD",501 - 1000 ,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,54,93,73.5,MD
Data Scientist,$86K-$142K,"Logic20/20
3.8",3.8,"Seattle, WA",201 - 500 ,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,86,142,114,CA
Research Scientist,$38K-$84K,"Rochester Regional Health
3.3",3.3,"Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,38,84,61,NY
Data Scientist,$120K-$160K,"<intent>
4.6",4.6,"New York, NY",51 - 200 ,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",120,160,140,NY
Data Scientist,$126K-$201K,"Wish
3.5",3.5,"San Francisco, CA",501 - 1000 ,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),-1,126,201,163.5,CA
Data Scientist,$64K-$106K,"ManTech
4.1",4.1,"Herndon, VA",5001 - 10000 ,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,64,106,85,VA
Staff Data Scientist - Technology,$106K-$172K,"Walmart
3.2",3.2,"Bentonville, AR",10000+ ,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",106,172,139,TX
Data Analyst,$46K-$85K,"Yesler
4.1",4.1,"Seattle, WA",201 - 500 ,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,46,85,65.5,WA
Data Scientist,$83K-$144K,"Takeda Pharmaceuticals
3.7",3.7,"OSAKA, Japan",10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",83,144,113.5,MA
Data Engineer I,$102K-$190K,"Audible
3.6",3.6,"Newark, NJ",1001 - 5000 ,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,-1,102,190,146,NJ
"Scientist I/II, Biology",$67K-$137K,"Blueprint Medicines
3.9",3.9,"Cambridge, MA",51 - 200 ,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene",67,137,102,MA
Customer Data Scientist,$118K-$189K,"h2o.ai
4.3",4.3,"Mountain View, CA",201 - 500 ,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,118,189,153.5,CA
Data Scientist - Health Data Analytics,$110K-$175K,"Nuna
4.2",4.2,"San Francisco, CA",51 - 200 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,110,175,142.5,CA
Data Scientist,$64K-$111K,"Pinnacol Assurance
4.0",4,"Denver, CO",501 - 1000 ,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,64,111,87.5,CO
Data Scientist,$81K-$130K,"Porch
3.2",3.2,"Seattle, WA",201 - 500 ,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Angie's List, HomeAdvisor, Thumbtack",81,130,105.5,WA
Senior Data Scientist / Machine Learning,$73K-$119K,"Health IQ
3.9",3.9,"Mountain View, CA",201 - 500 ,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,73,119,96,TX
Data Scientist - Quantitative,$86K-$139K,"Truckstop.com
3.8",3.8,"New Plymouth, ID",501 - 1000 ,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,86,139,112.5,IL
Data Scientist,$63K-$105K,"SMC 3
4.3",4.3,"Peachtree City, GA",51 - 200 ,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),-1,63,105,84,KY
Data Scientist,$109K-$177K,"Novetta
4.0",4,"Mc Lean, VA",501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",109,177,143,VA
Digital Health Data Scientist,$63K-$110K,"Pfizer
4.0",4,"New York, NY",10000+ ,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,63,110,86.5,MA
Data Scientist,$75K-$124K,"First Tech Federal Credit Union
3.5",3.5,"San Jose, CA",1001 - 5000 ,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,75,124,99.5,OR
Associate Data Analyst,$34K-$61K,"The Hanover Insurance Group
3.7",3.7,"Worcester, MA",5001 - 10000 ,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,34,61,47.5,MA
Clinical Data Scientist,$63K-$105K,"Pfizer
4.0",4,"New York, NY",10000+ ,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,63,105,84,CT
Data Scientist,$80K-$90K,"KnowBe4
4.8",4.8,"Clearwater, FL",501 - 1000 ,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,80,90,85,FL
