Year,Hobbyist,Income,Country,EdLevel,Employment,JobSat,OrgSize,UndergradMajor,YearsCodePro,Data scientist or machine learning specialist,Database administrator
2017,"Yes, both",43750,United Kingdom,Bachelor's degree,Employed full-time,4,2 to 9 employees,Computer science,2,1,1
2017,"Yes, I program as a hobby",51282.05128,Denmark,some college,Employed part-time,10,100 to 499 employees,Computer science,3,1,0
2017,No,25000,Israel,some college,Employed full-time,6,"5,000 to 9,999 employees",Computer science,4,1,0
2017,"Yes, I program as a hobby",100000,United States,some college,Employed full-time,5,20 to 99 employees,Computer science,15,0,1
2017,"Yes, both",27000,Ukraine,Master's degree,Employed full-time,7,100 to 499 employees,Computer science,5,0,1
2017,"Yes, I program as a hobby",120000,United States,Bachelor's degree,Employed full-time,10,20 to 99 employees,Computer science,5,0,1
2017,No,62121.21212,Canada,Bachelor's degree,Employed full-time,4,20 to 99 employees,Computer science,10,0,1
2017,No,54545.45455,Canada,some college,Employed full-time,8,"1,000 to 4,999 employees",Computer programming or Web development,9,0,1
2017,"Yes, I program as a hobby",1481.481481,Poland,Bachelor's degree,Employed full-time,10,2 to 9 employees,Humanities,1,0,1
2017,"Yes, both",50000,United States,some college,Employed full-time,10,2 to 9 employees,Computer science,16,0,1
2017,"Yes, both",50000,United States,some college,Employed full-time,1,10 to 19 employees,Another engineering discipline,3,0,1
2017,"Yes, both",103000,United States,Master's degree,Employed full-time,8,500 to 999 employees,Computer science,16,0,1
2017,No,81000,United States,Master's degree,Employed full-time,10,"1,000 to 4,999 employees",Another engineering discipline,7,1,0
2017,"Yes, I program as a hobby",120000,United States,Bachelor's degree,Employed full-time,10,20 to 99 employees,Computer science,20,1,0
2017,"Yes, both",40000,Germany,Secondary school,Employed full-time,6,20 to 99 employees,,4,1,0
2017,"Yes, both",150000,United Kingdom,Master's degree,Employed full-time,8,"1,000 to 4,999 employees",Computer science,18,1,0
2017,"Yes, I program as a hobby",46969.69697,Canada,some college,Employed full-time,7,"1,000 to 4,999 employees",Computer science,17,1,0
2017,"Yes, both",62365.5914,Austria,Master's degree,Employed full-time,3,100 to 499 employees,Computer science,11,1,0
2017,"Yes, I program as a hobby",62500,United Kingdom,Master's degree,Employed full-time,7,2 to 9 employees,Natural science,15,1,0
2017,"Yes, both",52500,United States,Bachelor's degree,Employed full-time,5,500 to 999 employees,Computer science,4,1,0
2017,"Yes, both",90000,United States,some college,Employed full-time,3,"1,000 to 4,999 employees",Computer programming or Web development,10,0,1
2017,"Yes, I program as a hobby",73200,United States,some college,Employed full-time,6,10 to 19 employees,Information systems,11,0,1
2017,"Yes, I program as a hobby",20493.82716,Poland,Secondary school,Employed part-time,9,2 to 9 employees,,1,1,0
2017,"Yes, I program as a hobby",32258.06452,France,Master's degree,Employed full-time,2,2 to 9 employees,Computer science,9,0,1
2017,"Yes, both",84000,Switzerland,Master's degree,Employed full-time,10,500 to 999 employees,Computer engineering or electrical/electronics engineering,5,1,0
2017,No,65000,United States,Bachelor's degree,Employed full-time,7,"1,000 to 4,999 employees",Computer science,6,0,1
2017,"Yes, I program as a hobby",86858.33406,Japan,Master's degree,Employed full-time,7,100 to 499 employees,Computer science,9,0,1
2017,"Yes, both",95000,United States,Bachelor's degree,Employed full-time,3,20 to 99 employees,Computer engineering or electrical/electronics engineering,9,1,0
2017,"Yes, I program as a hobby",119658.1197,Sweden,Bachelor's degree,Employed full-time,3,20 to 99 employees,Computer science,9,1,0
2017,"Yes, I program as a hobby",107000,United States,Bachelor's degree,Employed full-time,6,"10,000 or more employees",Computer science,14,0,1
2017,"Yes, I program as a hobby",13219.83471,Turkey,some college,Employed full-time,8,20 to 99 employees,Computer engineering or electrical/electronics engineering,5,1,1
2017,"Yes, I program as a hobby",38216.56051,Brazil,Bachelor's degree,Employed full-time,6,500 to 999 employees,Computer science,6,0,1
2017,"Yes, I program as a hobby",50000,United States,Master's degree,Employed full-time,8,100 to 499 employees,Humanities,1,0,1
2017,No,178000,United States,Bachelor's degree,Employed full-time,7,"10,000 or more employees",Information systems,17,0,1
2017,No,51000,United States,Bachelor's degree,Employed full-time,4,10 to 19 employees,Information systems,20,0,1
2017,"Yes, I program as a hobby",63440.86022,Germany,Doctoral degree,Employed full-time,8,20 to 99 employees,Computer engineering or electrical/electronics engineering,7,1,0
2017,"Yes, I program as a hobby",90000,United States,Bachelor's degree,Employed full-time,5,"1,000 to 4,999 employees",Computer science,6,0,1
2017,"Yes, I program as a hobby",65000,Norway,Master's degree,Employed full-time,7,2 to 9 employees,Computer science,3,1,1
2017,"Yes, I contribute to open source projects",94000,United States,Bachelor's degree,Employed full-time,9,"10,000 or more employees",Business,6,1,0
2017,"Yes, I program as a hobby",41893.93939,Canada,some college,Employed full-time,8,20 to 99 employees,Computer science,4,0,1
2017,"Yes, I program as a hobby",85000,United States,Bachelor's degree,Employed full-time,1,"10,000 or more employees",Computer science,6,1,0
2017,"Yes, I program as a hobby",27272.72727,Canada,Secondary school,Employed full-time,3,20 to 99 employees,,2,0,1
2017,"Yes, I program as a hobby",133000,United States,Doctoral degree,Employed full-time,9,"10,000 or more employees",Natural science,6,1,0
2017,No,12365.5914,Portugal,Bachelor's degree,Employed full-time,1,20 to 99 employees,Computer science,3,0,1
2017,"Yes, I program as a hobby",31250,United Kingdom,Bachelor's degree,Employed full-time,3,2 to 9 employees,Computer science,8,0,1
2017,"Yes, I program as a hobby",64516.12903,Germany,some college,Employed full-time,8,100 to 499 employees,Computer science,17,0,1
2017,"Yes, I program as a hobby",90000,United States,Master's degree,Employed full-time,8,20 to 99 employees,Natural science,5,1,0
2017,"Yes, both",37878.78788,Canada,Master's degree,Employed full-time,7,10 to 19 employees,Computer science,4,1,0
2017,"Yes, I program as a hobby",31818.18182,Canada,some college,Employed full-time,4,10 to 19 employees,Computer science,2,0,1
2017,"Yes, I program as a hobby",27790.32258,Bulgaria,Bachelor's degree,Employed full-time,7,"10,000 or more employees",Computer science,4,1,0
2017,"Yes, I program as a hobby",119000,United States,some college,Employed full-time,10,10 to 19 employees,Computer science,9,1,0
2017,"Yes, both",37500,United Kingdom,Master's degree,Employed full-time,9,100 to 499 employees,Computer science,5,1,1
2017,"Yes, I program as a hobby",19108.28025,Brazil,Master's degree,Employed full-time,9,2 to 9 employees,Computer science,17,0,1
2017,"Yes, I program as a hobby",135000,United States,Master's degree,Employed full-time,7,100 to 499 employees,Computer science,14,1,1
2017,"Yes, both",88000,United States,Secondary school,Employed full-time,5,100 to 499 employees,,11,0,1
2017,"Yes, I program as a hobby",40000,United States,some college,Employed full-time,9,20 to 99 employees,Computer science,2,1,0
2017,"Yes, I program as a hobby",73736,United States,some college,Employed full-time,7,20 to 99 employees,Computer science,17,0,1
2017,"Yes, I program as a hobby",54000,United States,Bachelor's degree,Employed full-time,9,20 to 99 employees,Computer science,4,0,1
2017,"Yes, I program as a hobby",39462.36559,Slovenia,Bachelor's degree,Employed full-time,3,100 to 499 employees,Computer engineering or electrical/electronics engineering,19,1,1
2017,No,59375,United Kingdom,Bachelor's degree,Employed full-time,9,20 to 99 employees,Mathematics or statistics,9,0,1
2017,"Yes, both",10277.49229,India,Bachelor's degree,Employed full-time,5,10 to 19 employees,Computer science,2,0,1
2017,"Yes, I program as a hobby",110000,United States,Bachelor's degree,Employed full-time,9,2 to 9 employees,Computer science,,1,1
2017,No,51250,United Kingdom,Bachelor's degree,Employed full-time,7,20 to 99 employees,Computer science,20,0,1
2017,"Yes, both",150000,United States,Master's degree,Employed full-time,7,20 to 99 employees,Fine arts or performing arts,13,0,1
2017,"Yes, I program as a hobby",43939.39394,Canada,some college,Employed full-time,7,20 to 99 employees,Health science,20,0,1
2017,"Yes, I program as a hobby",91000,United States,Bachelor's degree,Employed full-time,3,500 to 999 employees,Computer science,12,0,1
2017,"Yes, I program as a hobby",75757.57576,Canada,Doctoral degree,Employed full-time,8,20 to 99 employees,Mathematics or statistics,3,1,1
2017,"Yes, I program as a hobby",130000,United States,Bachelor's degree,Employed full-time,8,10 to 19 employees,Computer science,13,0,1
2017,"Yes, both",85000,United States,some college,Employed full-time,5,2 to 9 employees,Computer programming or Web development,10,0,1
2017,"Yes, I program as a hobby",3773.584906,Israel,Professional degree,Employed full-time,10,100 to 499 employees,Computer programming or Web development,5,0,1
2017,"Yes, I program as a hobby",70588.23529,Sweden,Bachelor's degree,Employed full-time,8,20 to 99 employees,Computer programming or Web development,20,0,1
2017,"Yes, I program as a hobby",125000,United States,some college,Employed full-time,7,"10,000 or more employees",Computer programming or Web development,8,0,1
2017,"Yes, I program as a hobby",38216.56051,Brazil,Bachelor's degree,Employed full-time,2,100 to 499 employees,Computer science,8,0,1
2017,"Yes, I program as a hobby",12101.91083,Brazil,some college,Employed full-time,10,"5,000 to 9,999 employees",Information systems,1,0,1
2017,"Yes, both",54375,United Kingdom,Bachelor's degree,Employed full-time,7,20 to 99 employees,Computer science,16,0,1
2017,"Yes, I program as a hobby",12918.66029,Mexico,Bachelor's degree,Employed full-time,10,2 to 9 employees,Mathematics or statistics,3,1,0
2017,"Yes, I contribute to open source projects",80000,United States,Bachelor's degree,Employed full-time,10,100 to 499 employees,Computer science,15,1,1
2017,"Yes, I program as a hobby",43181.81818,Canada,Bachelor's degree,Employed full-time,6,"1,000 to 4,999 employees",Information systems,4,0,1
2017,"Yes, I program as a hobby",104200,United States,Bachelor's degree,Employed full-time,9,"10,000 or more employees",Computer programming or Web development,13,0,1
2017,"Yes, I program as a hobby",50000,Canada,some college,Employed full-time,7,20 to 99 employees,Computer programming or Web development,11,0,1
2017,"Yes, both",42000,United States,some college,Employed full-time,1,"5,000 to 9,999 employees",Computer programming or Web development,14,0,1
2017,"Yes, both",107816.7116,Israel,Bachelor's degree,Employed full-time,9,20 to 99 employees,Computer science,10,1,0
2017,"Yes, both",483.8709677,Macedonia,some college,Employed full-time,8,20 to 99 employees,Computer science,2,1,0
2017,"Yes, I program as a hobby",55000,United Kingdom,Bachelor's degree,Employed full-time,8,100 to 499 employees,Computer science,9,0,1
2017,No,65000,United States,some college,Employed full-time,5,100 to 499 employees,Information systems,6,1,1
2017,"Yes, I program as a hobby",64000,United States,Bachelor's degree,Employed full-time,8,"1,000 to 4,999 employees",Computer engineering or electrical/electronics engineering,7,0,1
2017,"Yes, both",45000,United Kingdom,Bachelor's degree,Employed full-time,8,100 to 499 employees,Computer science,12,0,1
2017,"Yes, I program as a hobby",115384.6154,Sweden,some college,Employed part-time,8,"10,000 or more employees",Another engineering discipline,20,1,0
2017,"Yes, I program as a hobby",36400,United States,some college,Employed full-time,7,20 to 99 employees,Computer science,2,0,1
2017,"Yes, both",83000,United States,Bachelor's degree,Employed full-time,9,20 to 99 employees,Mathematics or statistics,4,1,0
2017,"Yes, I contribute to open source projects",23703.7037,Poland,Bachelor's degree,Employed full-time,5,"5,000 to 9,999 employees",Computer science,3,1,0
2017,"Yes, both",86021.50538,Israel,Bachelor's degree,Employed full-time,9,500 to 999 employees,Computer science,3,0,1
2017,"Yes, both",110000,United States,Master's degree,Employed full-time,6,"1,000 to 4,999 employees",Computer science,10,0,1
2017,"Yes, both",43010.75269,Germany,Master's degree,Employed full-time,9,20 to 99 employees,Computer science,5,0,1
2017,"Yes, I program as a hobby",80000,United Kingdom,Bachelor's degree,Employed full-time,8,20 to 99 employees,Computer science,18,1,0
2017,No,72000,United States,Bachelor's degree,Employed full-time,7,500 to 999 employees,Computer science,3,0,1
2017,"Yes, both",125000,United States,Bachelor's degree,Employed full-time,7,"10,000 or more employees",Computer science,4,1,0
2017,No,90000,United Kingdom,Bachelor's degree,Employed full-time,2,500 to 999 employees,Computer science,10,0,1
2017,"Yes, I program as a hobby",101000,United States,Bachelor's degree,Employed full-time,3,20 to 99 employees,Mathematics or statistics,6,1,0
2017,No,37500,United Kingdom,Bachelor's degree,Employed full-time,8,2 to 9 employees,Computer science,7,0,1
2017,"Yes, I program as a hobby",64516.12903,Netherlands,Doctoral degree,Employed full-time,7,100 to 499 employees,Another engineering discipline,8,1,0
2017,"Yes, both",85000,United States,some college,Employed full-time,7,10 to 19 employees,Another engineering discipline,5,0,1
2017,"Yes, both",125000,United States,Master's degree,Employed full-time,7,"1,000 to 4,999 employees",Computer science,4,1,0
2017,No,90000,United States,Master's degree,Employed full-time,9,"10,000 or more employees",Another engineering discipline,8,1,0
2017,"Yes, I program as a hobby",40100.25063,Russian Federation,Professional degree,Employed full-time,5,"10,000 or more employees",Information systems,11,1,0
2017,"Yes, I program as a hobby",31250,United Kingdom,Bachelor's degree,Employed full-time,8,20 to 99 employees,Computer science,3,0,1
2017,"Yes, I program as a hobby",45305.30303,Canada,Master's degree,Employed full-time,9,20 to 99 employees,Computer science,3,0,1
2017,"Yes, I program as a hobby",47500,United States,Secondary school,Employed full-time,8,20 to 99 employees,,2,0,1
2017,"Yes, I program as a hobby",14000,Hungary,Secondary school,Employed full-time,9,20 to 99 employees,,20,0,1
2017,"Yes, both",8064.516129,Germany,Secondary school,Employed full-time,5,100 to 499 employees,,2,0,1
2017,"Yes, I contribute to open source projects",60000,United Kingdom,Doctoral degree,Employed full-time,6,100 to 499 employees,Computer science,20,1,0
2017,"Yes, I program as a hobby",73500,United States,Bachelor's degree,Employed full-time,7,"10,000 or more employees",Information systems,5,1,1
2017,"Yes, I program as a hobby",71000,United States,some college,Employed full-time,4,100 to 499 employees,Computer science,17,0,1
2017,"Yes, I program as a hobby",107526.8817,Germany,Bachelor's degree,Employed full-time,10,10 to 19 employees,Computer science,18,1,0
2017,"Yes, I program as a hobby",50967.74194,Belgium,Bachelor's degree,Employed full-time,8,"1,000 to 4,999 employees",Computer science,5,0,1
2017,"Yes, both",22500,United Kingdom,Bachelor's degree,Employed part-time,8,2 to 9 employees,Computer science,2,0,1
2017,No,60000,United States,Bachelor's degree,Employed full-time,4,2 to 9 employees,Business,6,0,1
2017,"Yes, I program as a hobby",50000,United States,some college,Employed full-time,6,10 to 19 employees,Computer science,4,1,1
2017,"Yes, I program as a hobby",7800,United States,Master's degree,Employed full-time,9,100 to 499 employees,Another engineering discipline,10,1,0
2017,"Yes, both",130000,United States,Bachelor's degree,Employed full-time,8,100 to 499 employees,Computer science,12,1,1
2017,"Yes, I program as a hobby",49462.36559,Germany,Master's degree,Employed full-time,,2 to 9 employees,Natural science,2,0,1
2017,No,38000,United States,Bachelor's degree,Employed full-time,8,I don't know,Computer science,9,0,1
2017,"Yes, I program as a hobby",18064.51613,Germany,Secondary school,Employed part-time,9,100 to 499 employees,,2,0,1
2017,"Yes, I program as a hobby",66666.66667,Australia,Bachelor's degree,Employed full-time,8,"5,000 to 9,999 employees",Another engineering discipline,10,1,1
2017,"Yes, both",131250,United Kingdom,Master's degree,Employed full-time,8,"5,000 to 9,999 employees",Computer engineering or electrical/electronics engineering,16,0,1
2017,"Yes, I program as a hobby",105000,United States,Bachelor's degree,Employed full-time,8,"10,000 or more employees",Computer science,5,1,0
2017,"Yes, both",64393.93939,Canada,some college,Employed full-time,8,100 to 499 employees,Another engineering discipline,11,0,1
2017,"Yes, both",668.3375104,Russian Federation,Bachelor's degree,Employed part-time,6,100 to 499 employees,Computer engineering or electrical/electronics engineering,4,0,1
2017,"Yes, I program as a hobby",78000,Switzerland,Secondary school,Employed full-time,9,20 to 99 employees,,6,0,1
2017,No,102000,United States,some college,Employed full-time,6,"1,000 to 4,999 employees",Computer science,15,1,0
2017,"Yes, both",1550,Hungary,Bachelor's degree,Employed full-time,10,2 to 9 employees,Computer science,5,1,0
2017,"Yes, I program as a hobby",41666.66667,Australia,some college,Employed full-time,4,20 to 99 employees,Computer programming or Web development,4,0,1
2017,"Yes, I contribute to open source projects",94696.9697,Australia,Bachelor's degree,Employed full-time,9,2 to 9 employees,Computer science,3,0,1
2017,"Yes, I program as a hobby",140000,United States,some college,Employed full-time,5,"5,000 to 9,999 employees",Computer science,13,0,1
2017,No,68181.81818,Canada,Bachelor's degree,Employed full-time,10,10 to 19 employees,Computer science,13,0,1
2017,"Yes, I program as a hobby",15000,Argentina,Secondary school,Employed full-time,5,"10,000 or more employees",,2,1,0
2017,"Yes, both",110000,I prefer not to say,Master's degree,Employed full-time,0,20 to 99 employees,Computer engineering or electrical/electronics engineering,3,1,1
2017,"Yes, I program as a hobby",45376.34409,Germany,Master's degree,Employed full-time,6,I don't know,Mathematics or statistics,5,1,0
2017,"Yes, I program as a hobby",41666.66667,Australia,some college,Employed full-time,7,"10,000 or more employees",Computer science,3,0,1
2017,No,85000,United States,Bachelor's degree,Employed full-time,9,"1,000 to 4,999 employees",Computer science,4,0,1
2017,"Yes, I program as a hobby",70000,United States,Bachelor's degree,Employed full-time,8,2 to 9 employees,Computer science,5,0,1
2017,"Yes, both",156000,United States,Doctoral degree,Employed full-time,7,"10,000 or more employees",Natural science,5,1,0
2017,No,75757.57576,Canada,some college,Employed full-time,7,20 to 99 employees,Computer programming or Web development,12,0,1
2017,"Yes, both",41666.66667,Australia,Bachelor's degree,Employed full-time,7,500 to 999 employees,Computer science,3,0,1
2017,"Yes, I program as a hobby",64393.93939,Canada,some college,Employed full-time,8,500 to 999 employees,Computer science,19,1,1
2017,No,673.0984967,Indonesia,Bachelor's degree,Employed full-time,0,100 to 499 employees,Computer science,4,0,1
2017,"Yes, I program as a hobby",100000,Turkey,Doctoral degree,Employed full-time,10,"10,000 or more employees",Computer science,16,1,0
2017,No,595.9475566,Philippines,Bachelor's degree,Employed full-time,9,100 to 499 employees,Computer science,4,0,1
2017,"Yes, both",32500,United Kingdom,some college,Employed full-time,5,100 to 499 employees,Humanities,5,0,1
2017,"Yes, I program as a hobby",53030.30303,Canada,Master's degree,Employed full-time,8,10 to 19 employees,Computer engineering or electrical/electronics engineering,6,0,1
2017,No,49242.42424,Canada,Bachelor's degree,Employed full-time,8,20 to 99 employees,Natural science,3,1,0
2017,"Yes, I program as a hobby",39772.72727,Canada,Bachelor's degree,Employed full-time,9,20 to 99 employees,Computer science,2,1,0
2017,"Yes, both",3335.360028,Indonesia,Bachelor's degree,Employed full-time,8,"5,000 to 9,999 employees",Computer engineering or electrical/electronics engineering,3,0,1
2017,No,120000,United States,Bachelor's degree,Employed full-time,9,100 to 499 employees,Computer science,4,1,0
2017,"Yes, both",75000,United States,Master's degree,Employed full-time,7,100 to 499 employees,Mathematics or statistics,9,1,0
2017,"Yes, both",130000,United States,Bachelor's degree,Employed full-time,7,500 to 999 employees,Mathematics or statistics,17,1,1
2017,"Yes, I program as a hobby",45454.54545,Australia,I prefer not to answer,Employed full-time,5,10 to 19 employees,,6,0,1
2017,"Yes, I program as a hobby",70000,United States,Bachelor's degree,Employed full-time,9,"10,000 or more employees",Another engineering discipline,2,1,1
2017,"Yes, both",125000,United States,some college,Employed full-time,4,500 to 999 employees,Business,10,0,1
2017,"Yes, I program as a hobby",165000,United States,Doctoral degree,Employed full-time,9,10 to 19 employees,Computer engineering or electrical/electronics engineering,20,1,1
2017,"Yes, both",45000,United Kingdom,Bachelor's degree,Employed full-time,3,20 to 99 employees,Computer science,20,0,1
2017,"Yes, I program as a hobby",17204.30108,China,Master's degree,Employed full-time,7,100 to 499 employees,Computer science,1,1,0
2017,"Yes, I program as a hobby",62121.21212,Canada,Doctoral degree,Employed full-time,2,100 to 499 employees,Natural science,6,1,0
2017,"Yes, I program as a hobby",168000,United States,Bachelor's degree,Employed full-time,7,"5,000 to 9,999 employees",Computer science,13,1,1
